ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Price,Annex,value,overun_%
283,KACANIK,Jobs,Not Provided,KA652/14/88/236,Hartimi I projektit kryesor I rruges Agim Bajrami - Guri I shpum -M2 dhe rruges Hamze Jashari,2014,KOING NNP,Kacanik,10-Nov-14,Not Provided,"5,947.88",Not Provided,5947.88,0
284,KACANIK,Jobs,Not Provided,KA652/14/89/536,Rehabilitimi dhe gjelbrimi rreth Lumit Nerodime ne qytetin e Kacanikut,2014,ELAN INZHINJERING NNT,Ferizaj,10-Nov-14,Not Provided,"2,613.20",Not Provided,2613.2,0
285,KACANIK,Supply,Not Provided,KA652/14/75/136,Furnizim me mjetete te zerimit ne sallen e Kuvendit,2014,ELTING ELEKTRONICS NPSH,Prishtine,11-Nov-14,Not Provided,"3,772.68",Not Provided,3772.68,0
286,KACANIK,Jobs,Not Provided,KA652/14/79/536,Asfaltimi I rruges ne lagjen memaj te fshatit Dubrave,2014,AR DRITI NTSH,Ferizaj,11-Nov-14,Not Provided,"2,964.12",Not Provided,2964.12,0
287,KACANIK,Supply,Not Provided,KA652/14/86/136,Furnizim me pajisje te teknologjis informative,2014,SOLVIT SHPK,Prishtine,11-Nov-14,Not Provided,"9,166.00",Not Provided,9166,0
288,KACANIK,Supply,Not Provided,KA652/14/68/136,"Furnizim me gypa te ujesjellsit ne lagjen ""Shefket Fera"" dhe ""Mukadeze Lika""",2014,ADAR NNSH,Kacanik,13-Nov-14,Not Provided,"2,242.50",Not Provided,2242.5,0
289,KACANIK,Jobs,Not Provided,KA652/14/90/536,Sinjalizimi horizontal ne rrugen Vellezerit _aka - Izahir Troni dhe rruga e U_K-se - Kacanik,2014,KROSA NSH,Kacanik,21-Nov-14,Not Provided,"9,910.00",Not Provided,9910,0
290,PRISHTINE,Jobs,Not Provided,150,Ndertimi I parkingut ne hyrje te parkut te Germis dhe montimi I kamerave LOTO II,2014,PROFESIONAL ALARM,Prishtine,5-Dec-14,0,"7,997.00",Not Provided,7997,0
291,KACANIK,Jobs,Not Provided,KA6521492536,"Renovimi I ojbjektit te shkolles fillore Jusuf Gervalla, Idriz seferi dhe shtepia e kultures",2014,ARIJANI NNT,Kacanik,5-Dec-14,Not Provided,"6,325.34",Not Provided,6325.34,0
292,KACANIK,Jobs,Not Provided,KA65214536,Renovimi I kulmit te shkolles se mesme Skenderbeu dhe vendosja e shportave,2014,CIMA NTSH,Kacanik,5-Dec-14,Not Provided,"5,919.25",Not Provided,5919.25,0
293,KACANIK,Jobs,Not Provided,KA6521495536,Rregullimi I kanalit te rruges ne fshatin Doganaj,2014,BUARDI SHPK,Kacanik,5-Dec-14,Not Provided,"1,470.00",Not Provided,1470,0
294,KACANIK,Jobs,Not Provided,/////////////////////,Asfaltimi I rruges ne lagjen selman ne fshatin Doganaj (Aneks Kontrat),2014,KEMA COMPANY SHPK,Lipjani,11-Dec-14,Not Provided,"2,182.29",Not Provided,2182.29,0
295,KACANIK,Supply,Not Provided,KA6521494136,Furnizim me teknologji informative,2014,SOLVIT SHPK,Prishtine,11-Dec-14,Not Provided,"8,835.00",Not Provided,8835,0
