ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Value,Price,Annex,Total,overun_%,clean_overun_%
56,KACANIK,Supply,Unknown,KA652/10/65/136,Furnizim me mobilje per nevojat e shkollave,2010,METALI NTP,Viti,13-Dec-10,Not Provided,5728,Not Provided,5728,N/A,Not Applicable
57,KACANIK,Supply,Unknown,KA652/10/66/136,Furnizim me pajisje teknologjike per nevojat e administartes Komunale dhe shkollat,2010,ELITA IT NTSH,Kacanik,13-Dec-10,Not Provided,4050,Not Provided,4050,N/A,Not Applicable
58,FERIZAJ,Supply,1,5,Furnizim me dhe per projektin e perbashket me KFOR-in Grek per rregullimin e fushes se futbollit ne Fshatin Komogllave,2011,EGZONI NN,Ferizaj,14-Feb-11,0,8800,0,8800,N/A,Not Applicable
59,FERIZAJ,Services,1,7,Digjitalizimi i shenimeve grafike ne GIS per DUPGJK,2011,E&B ENGINEERING,Prishtine,10-Mar-11,0,4988.75,0,4988.75,N/A,Not Applicable
60,FERIZAJ,Services,1,8,Dhenja me qira e tregut te kafsheve ne Fshatin Muhovce- Ferizaj,2011,STACIONI QENDROR I VETERINAIRSE,Ferizaj,11-Mar-11,0,0,22231,22231,N/A,Not Applicable
61,KACANIK,Services,Unknown,KA652/11/08/236,Sherbimet e Zerimit per nevojat e komunes se Kacanikut,2011,PRO AUDIO NSH,Kacanik,5-Apr-11,Not Provided,10000,Not Provided,10000,N/A,Not Applicable
62,KACANIK,Supply,Unknown,KA652/11/11/136,"Furnizim me materijal ushqimor dhe pije per nevojat e SHCK-se, Shkollat , Zjarrfiksave dhe Shendetsine.",2011,DADINI NTP,Kacanik,5-Apr-11,Not Provided,10000,Not Provided,10000,N/A,Not Applicable
63,KACANIK,Services,Unknown,KA652/11/09/236,"Sigurimi i automjeteve te Administrates, QKMF-se dhe sherbimit te sjarrfiksave",2011,PROSING NSH,Kacanik,6-Apr-11,Not Provided,8320.83,Not Provided,8320.83,N/A,Not Applicable
64,KACANIK,Services,Unknown,KA652/11/04/235,Eleminimi I qeneve Endacak,2011,SHOQATA E GJUETARèVE DRERI ,Kacanik,19-Apr-11,Not Provided,1698,Not Provided,1698,N/A,Not Applicable
65,KACANIK,Jobs,Unknown,KA652/11/02/521,Ndertimi i kanalizimit fekal ne fshatin Soponice lagja Dallosh,2011,ATC COM NNP,Kacanik,28-Apr-11,Not Provided,31000,Not Provided,31000,N/A,Not Applicable
